Panamax Bulk Period Fixtures,,,,,,,,,,,,,,,,,
Fixtures are provided as reported and are not comprehensive.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Created 17 July 2014 11:19,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Name,Built,Dwt,Quantity,Type,Charterer,Delivery,Load,Discharge,Redel,Laycan From,Laycan To,Rate,Unit,Period,Ballast Bonus,Owner
05/10/2011,Glyfada 1,2009,76000,0,PERIOD,BUNGE,RIZHAO,,WORLD WIDE,WORLD WIDE,27/09/2011,27/09/2011,13250,$/Day,4-6 Months,,Dynacom Tankers Mngt
05/10/2011,Kea,2010,76000,0,PERIOD,BUNGE,CJK,,WORLD WIDE,WORLD WIDE,10/10/2011,15/10/2011,13250,$/Day,4-6 Months,,Dynacom Tankers Mngt
05/10/2011,Evanthia,2001,74350,0,PERIOD,GLENCORE,CHANGJIANGKOU,,WORLD WIDE,WORLD WIDE,09/10/2011,14/10/2011,14000,$/Day,4-6 Months,,Aegean Bulk Co. Inc.
03/10/2011,Sea Breeze,2009,91800,0,PERIOD,CNR,SOUTH CHINA,,WORLD WIDE,WORLD WIDE,15/10/2011,25/10/2011,12750,$/Day,5-8 Months,,Scinicariello
03/10/2011,Orsolina Bottiglieri,2001,75410,0,PERIOD,CNR,CJK,,WORLD WIDE,WORLD WIDE,29/09/2011,29/09/2011,13250,$/Day,4-6 Months,,"Bottiglieri, Rizzo"
30/09/2011,Navios Orbiter,2004,76602,0,PERIOD,WBC,ROTTERDAM,,WORLD WIDE,WORLD WIDE,06/10/2011,12/10/2011,20000,$/Day,4-6 Months,,Navios Holdings
29/09/2011,Infinity,2010,80282,0,PERIOD,CNR,SINGAPORE,,WORLD WIDE,WORLD WIDE,29/09/2011,29/09/2011,13250,$/Day,4-6 Months,,Aegean Bulk Co. Inc.
28/09/2011,Kerveros,2003,76602,0,PERIOD,STX PAN OCEAN,Lianyungang,,WORLD WIDE,WORLD WIDE,30/09/2011,08/10/2011,12500,$/Day,5-7 Months,,Titan Maritime Ltd
27/09/2011,Garima Prem,2007,74500,0,PERIOD,BUNGE,Dhamra,,WORLD WIDE,WORLD WIDE,25/09/2011,30/09/2011,12350,$/Day,4-6 Months,,Mercator Lines
23/09/2011,Ecostar G. O.,2007,75149,0,PERIOD,GMI,TIANJIN,,WORLD WIDE,WORLD WIDE,24/09/2011,29/09/2011,12500,$/Day,4-6 Months,,Gleamray Maritime
