Panamax Bulk Spot Fixtures,,,,,,,,,,,,,,,,
Fixtures are provided as reported and are not comprehensive.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Created 17 July 2014 13:56,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date,Name,Built,Dwt,Quantity,Type,Charterer,Delivery,Load,Discharge,Redel,Laycan From,Laycan To,Rate,Unit,Ballast Bonus,Owner
19/12/2011,Ningbo Pioneer,1990,68788,60000,GRAIN,PRIMINDS,,USGF,CHINA,,15/01/2012,30/01/2012,52.5,$/Tonne,,Ningbo Marine Corp.
16/12/2011,Nord Fortune,2008,76596,0,TCT,TRANSBULK,REDCAR,REDCAR,ATLANTIC,ATLANTIC,22/12/2011,24/12/2011,15500,$/Day,,Keishin Kaiun K.K.
16/12/2011,Fortune Lady,1998,74761,0,TCT,DREYFUS,Lianyungang,NOPAC,SINGAPORE-JAPAN,SINGAPORE-JAPAN,16/12/2011,16/12/2011,12750,$/Day,,Mitsui O.S.K. Lines
16/12/2011,Iolcos Unity,2006,74476,0,TCT,CARGILL,USGF,USGF,SINGAPORE-JAPAN,SINGAPORE-JAPAN,05/01/2012,15/01/2012,26000,$/Day,600000,Iolcos Hellenic
16/12/2011,Anangel Omonia,1996,73519,0,TCT,CARGILL,PASSERO,PASSERO,Skaw-Passero,Skaw-Passero,20/12/2011,21/12/2011,15750,$/Day,,Anangel-American
16/12/2011,Kronos,1996,73301,0,TCT,CNR,USGF,USGF,SINGAPORE-JAPAN,SINGAPORE-JAPAN,01/01/2012,05/01/2012,26000,$/Day,600000,Andriaki Shpg. Co.
16/12/2011,Fu Kang,1997,72437,0,TCT,DREYFUS,JINTANG,USGF,SINGAPORE-JAPAN,SINGAPORE-JAPAN,15/01/2012,20/01/2012,10250,$/Day,,COSCO (Hong Kong)
16/12/2011,TBN,,0,65000,COAL,CLEARLAKE SHIPPING,,DAVANT,SWINOUJSCIE,,31/12/2011,07/01/2012,22.9,$/Tonne,,
16/12/2011,Medi Tokyo,1999,74356,0,TCT,RAFFLES,SW PASSAGE,USGF,SINGAPORE-JAPAN,SINGAPORE-JAPAN,01/01/2012,05/01/2012,26850,$/Day,685000,d'Amico Ireland
15/12/2011,Mega Hope,2010,79461,0,Pig Iron,NORDEN,PASSERO,PDM,USGF,Skaw-Passero,15/12/2011,15/12/2011,15500,$/Day,,Eastern Media Intl
15/12/2011,Ascanius,2004,76878,0,TCT,OLDENDORFF,NEW ORLEANS,NEW ORLEANS,SINGAPORE-JAPAN,SINGAPORE-JAPAN,10/01/2012,15/01/2012,26500,$/Day,650000,Transocean Maritime
15/12/2011,Eternal Grace,2006,76585,0,TCT,DREYFUS,INCHON,INCHON,SINGAPORE-JAPAN,SINGAPORE-JAPAN,18/12/2011,23/12/2011,10500,$/Day,,Shoei Kisen K.K.
15/12/2011,Kayu Ramin,1995,75264,0,TCT,CNR,PMO,BAHRAIN,CHINA,CHINA,13/12/2011,13/12/2011,14000,$/Day,,Fairmont Shpg. (Can)
15/12/2011,Seaguardian,1999,75462,0,TCT,CTP,HUNTERSTON,USEC,Skaw-Passero,Skaw-Passero,18/12/2011,22/12/2011,17750,$/Day,,Eastern Med. Mar.
15/12/2011,GH Fortune,2002,75214,0,TCT,CNR,Higashi-Harima,NOPAC,SINGAPORE-JAPAN,SINGAPORE-JAPAN,21/12/2011,23/12/2011,11750,$/Tonne,,Great Harvest
15/12/2011,Rosco Banyan,2010,74979,0,TCT,CNR,SAKAIDE,NOPAC,SINGAPORE-JAPAN,SINGAPORE-JAPAN,21/12/2011,23/12/2011,11500,$/Day,,Rewood Ocean Shpg.
15/12/2011,Georgios S,2001,74242,0,Pig Iron,ABT,MALTA,PDM,USGF,Skaw-Passero,09/12/2011,09/12/2011,15750,$/Day,,Order Shipping
15/12/2011,Castillo de San Pedro,1994,73204,0,TCT,NORDEN,USGF,USGF,CONTINENT,CONTINENT,02/01/2012,11/01/2012,15000,$/Day,500000,Elcano (Brazil)
15/12/2011,TBN,,0,65000,COAL,ENEL,,HAMPTON ROADS,BRINDISI,,25/12/2011,05/01/2012,21.5,$/Tonne,,
14/12/2011,Buenos Aires,2011,83366,0,TCT,LANSING,MIZUSHIMA,NOPAC,SINGAPORE-JAPAN,SINGAPORE-JAPAN,16/12/2011,18/12/2011,13000,$/Day,,Unknown
14/12/2011,Rysy,2011,79602,0,TCT,CNR,CANAKKLE,Black Sea & Egypt,Cape Passero,Cape Passero,19/12/2011,21/12/2011,14500,$/Day,,Polish Steamship Co.
14/12/2011,Golden Empress,2010,79600,0,COAL,CNR,CJK,EC AUST,SINGAPORE-JAPAN,SINGAPORE-JAPAN,17/12/2011,22/12/2011,10750,$/Day,,Golden Ocean
14/12/2011,Mega Hope,2010,79461,0,TCT,NORDEN,Cape Passero,Cape Passero,Skaw-Cape Passero,Skaw-Cape Passero,14/12/2011,20/12/2011,15500,$/Day,,Eastern Media Intl
14/12/2011,Orange Trident,2007,78932,0,TCT,TRANSBULK,ROTTERDAM,ROTTERDAM,Skaw-Cape Passero,Skaw-Cape Passero,18/12/2011,20/12/2011,16500,$/Day,,Daishin Senpaku K.K.
14/12/2011,CF Crystal,2011,75725,0,TCT,ALFRED C.TOEPFER,KAWASAKI,NOPAC,PAKISTAN,PAKISTAN,18/12/2011,23/12/2011,12500,$/Day,,Shanghai CP Intl.
14/12/2011,Navios Hyperion,2004,75707,0,TCT,GLENCORE,SAMCHEON PO,AUSTRALIA,PMO,PMO,19/12/2011,24/12/2011,12250,$/Day,,Navios MLP
14/12/2011,Great Mind,2011,75700,0,TCT,E SHIPS,HUANGPU,BUNBURY,PMO,PMO,15/12/2011,25/12/2011,13750,$/Day,,
14/12/2011,Galapagos,2010,76000,0,TCT,GLENCORE,CJK,EC AUST,PMO,PMO,14/12/2011,14/12/2011,13000,$/Day,,Dynacom Tankers Mngt
14/12/2011,Medi Singapore,2006,75379,0,TCT,CARGILL,PUERTO BOLIVAR,PUERTO BOLIVAR,UKC,UKC,30/12/2011,04/01/2012,15000,$/Day,500000,Orange Bootes
14/12/2011,Ecosand G. O.,2008,75239,0,TCT,CARGILL,Caofeidian,NOPAC,SINGAPORE-JAPAN,SINGAPORE-JAPAN,15/12/2011,20/12/2011,10900,$/Day,,Gleamray Maritime
14/12/2011,Georgios S,2001,74242,0,TCT,ABT,MALTA,MALTA,Skaw-Cape Passero,Skaw-Cape Passero,09/12/2011,09/12/2011,15750,$/Day,,Order Shipping
14/12/2011,Sea Fortune,1996,74012,0,TCT,UNITED,KAOHSIUNG,INDONESIA,INDIA,INDIA,20/12/2011,30/12/2011,10500,$/Day,,Athenian Ship Mngt.
14/12/2011,Gaurav Prem,2005,73901,0,TCT,WESTERN BULK CARRIERS,AMSTERDAM,MUUGA,INDIA,INDIA,26/01/2012,30/01/2012,30000,$/Day,,Mercator Lines
14/12/2011,Positano,2000,73288,0,TCT,HANJIN,DRUMMOND,DRUMMOND,Skaw-Cape Passero,Skaw-Cape Passero,17/12/2011,26/12/2011,15000,$/Day,500000,Dryships Inc.
14/12/2011,Annoula,1989,69406,0,TCT,PHAETHON,DAMIETTA,BLACK SEA,EGYPT MED,EGYPT MED,15/12/2011,20/12/2011,15000,$/Day,,Arion Shpg Co
14/12/2011,Bao Shan Hai,1991,64909,0,TCT,CNR,MAWAN,INDONESIA,NORTH CHINA,NORTH CHINA,14/12/2011,14/12/2011,7500,$/Day,,COSCO Bulk Carrier
13/12/2011,Trust Integrity,1992,96027,0,TCT,BROWNSTONE,GANGAVARAM,GOA,CHINA,CHINA,22/12/2011,25/12/2011,11350,$/Day,,Trustoil Tankers S.A
13/12/2011,Bulk Indonesia,2011,95712,0,TCT,CARGILL,HAMBURG,USGF,Skaw-Cape Passero,Skaw-Cape Passero,12/12/2011,14/12/2011,15500,$/Day,,Nissen Kaiun K.K.
13/12/2011,Lily Atlantic,2009,82800,0,TCT,BUNGE,USGF,USGF,SINGAPORE-JAPAN,SINGAPORE-JAPAN,26/12/2011,31/12/2011,26400,$/Day,640000,Nippon Yusen Kaisha
13/12/2011,Amazon,2001,74910,0,TCT,BUNGE,RIVER PLATE,JEDDAH,Cape Passero,Cape Passero,18/12/2011,28/12/2011,14500,$/Day,450000,Fafalios Shipping SA
13/12/2011,Coral Seas,2006,74477,0,ORE,CNR,PORT SAID,BLACK SEA,SINGAPORE-JAPAN,SINGAPORE-JAPAN,14/12/2011,20/12/2011,33500,$/Day,,Paragon Shpg.
