Panamax Bulker Register,,,,,,,,,,,
"Bulkers 65,000 - 99,999 dwt",,,,,,,,,,,
,,,,,,,,,,,
Created 17 July 2014 15:18,,,,,,,,,,,
,,,,,,,,,,,
Type,Hull Type,Name,Size,Unit,Dwt,GT,Flag,Built,Mn,Yard,Current Owner
Bulk,,Konstantinos II,"82,000.00",DWT,82000,44289,Liberia,2013,9,Zhejiang Ouhua,Hellenic Carriers
Bulk,,VSC Poseidon,"74,957.00",DWT,74957,40357,Liberia,2013,9,Sasebo H.I.,Seastar Chartering
Chip,,Surabaya Express,"70,099.00",DWT,70099,54686,Hong Kong,2013,9,Jiangsu New YZJ,Nova Shpg & Logist.
Bulk,,Rich Future,"82,197.00",DWT,82197,43022,Panama,2013,8,Tsuneishi Zhoushan,Fuyo Kaiun Co. Ltd.
Bulk,,Zheng Zhi,"82,500.00",DWT,82500,43951,Panama,2013,8,Wuhu Shipyard,Fujian Ocean Shpg
Bulk,,Stella Belinda,"81,700.00",DWT,81700,44136,Singapore,2013,9,Shanghai Waigaoqiao,Rizhao Steel
Bulk,,Shohaku,"91,073.00",DWT,91073,50668,Japan,2013,9,Oshima S.B. Co.,Nippon Yusen Kaisha
Bulk,,AM Annaba,"76,079.00",DWT,76079,41254,Marshall Islands,2013,9,Hudong Zhonghua,ArcelorMittal Shpg.
Bulk,,Tuo Fu 8,"81,721.00",DWT,81721,44315,Hong Kong,2013,9,Taizhou Catic SB,Tuofu Ocean
Bulk,,Zhong Hai Hua Run 1,"75,397.00",DWT,75397,40904,Peoples' Republic of China,2013,9,Jiangnan SY Group,China Shipping Group
Bulk,,Guo Dian 17,"76,426.00",DWT,76426,41779,Peoples' Republic of China,2013,8,Tianjin Xingang,Guodian Corp.
Open Hatch,,Maitaca Arrow,"73,296.00",DWT,73296,44865,Bahamas,2013,9,Oshima S.B. Co.,Gearbulk Ltd.
Bulk,,SITC Zhoushan,"76,195.00",DWT,76195,41684,Hong Kong,2013,9,Zhejiang Yangfan,SITC
